A1: Ladder,B1: mat_wt_1,C1: mat_wt_2,D1: mat_wt_3,E1: mat_ds_1,F1: mat_ds_2,G1: mat_ds_3,H1: mat_s4_1,A2: mat_s4_2,B2: mat_s4_3,C2: mat_d3_1,D2: mat_d3_2,E2: mat_d3_3,F2: mat_s1_1,G2: mat_s1_2,H2: mat_s1_3,A3: mat_d7_1,B3: mat_d7_2,C3: mat_d7_3,D3: Ladder,E3: pro_wt_1,F3: pro_wt_2,G3: pro_wt_3,H3: pro_ds_1,A4: pro_ds_2,B4: pro_ds_3,C4: pro_s4_1,D4: pro_s4_2,E4: pro_s4_3,F4: pro_d3_1,G4: pro_d3_2,H4: pro_d3_3,A5: pro_s1_1,B5: pro_s1_2,C5: pro_s1_3,D5: pro_d7_1,E5: pro_d7_2,F5: pro_d7_3
0.3212889,1.785854,0.3964016,1.971724,1.737525,1.938022,1.565461,1.860847,2.191077,0.5560828,0.9356909,2.237496,3.3292,0.6685802,2.469443,2.383451,1.055444,1.079657,1.822605,0.1187494,0.9489589,1.701809,0.9934842,0.9625282,1.890823,0.6553508,0.5081075,1.54571,0.5460504,2.28854,1.472409,1.674143,1.450067,0.001461298,0.08680644,3.038019,2.212683,0.1274937
0.3931747,2.063595,0.5993609,1.720392,1.973432,1.351273,1.848439,1.712655,1.930818,0.4989063,1.294742,2.150477,2.987236,0.7751358,2.560034,2.316981,1.621285,1.330248,1.63648,0,0.7210448,1.469097,1.095745,1.016815,1.903904,0.6154792,0.6165603,1.525495,0.8111627,2.117908,1.498858,1.855851,1.516676,0.3142674,0,3.014961,2.240287,0.03448361
0.7616239,2.098875,0.6994235,1.965732,2.064545,1.240468,2.005064,2.073601,1.763221,0.3711276,1.7185,1.889331,2.797756,0.4791803,2.394539,2.038329,1.985026,1.589607,1.389119,0,0.5856747,1.387383,1.281406,1.075726,1.508938,0.7653571,0.9145228,1.733862,1.141693,1.947959,1.614709,2.060044,1.563958,0.457944,0,2.908467,2.454835,0.07454788
0.9000008,2.183825,1.115058,1.990223,2.125171,1.25509,2.260071,2.310817,1.808248,0.9160402,1.535524,1.636146,2.666184,0.4399855,2.179234,2.034008,2.387694,1.770851,1.320902,0.02783041,0.8339694,1.482302,1.376334,1.252484,1.323178,0.8600005,1.13821,1.730348,0.8942805,2.036325,1.798473,2.330424,1.663051,0.6886508,0,3.110036,3.025926,0
0.5319122,2.07927,1.453536,1.757057,2.371623,1.52182,2.261305,2.474684,1.626971,0.9431185,1.735212,1.418859,3.003928,0.9233795,2.060894,1.883849,2.504773,2.174381,1.394663,0.2644805,0.9999418,1.632274,1.565348,1.390804,1.275647,0.8766863,1.290642,1.838381,0.7090966,2.340699,1.787973,2.655268,1.708629,0.76744,0.02870066,3.395347,3.574979,0
0.1106155,2.013716,1.521539,1.729277,2.557208,1.993723,2.347129,2.16145,1.9506,1.202802,1.650128,1.549487,3.106867,1.618881,2.358664,1.522908,2.649155,2.151312,1.647576,0.4284923,1.216636,1.584036,1.630263,1.473292,1.645303,0.8574466,1.340136,1.951756,0.2247994,2.599812,1.625349,3.183281,1.65575,0.8944253,0.007462172,3.391545,3.844997,0
0.02583411,2.298622,1.455813,1.972667,2.591885,2.80404,2.573549,2.328673,2.11246,1.007825,1.646287,1.979838,3.287825,1.894546,2.309131,1.838629,2.680082,2.225863,2.160376,0.04654224,1.421121,1.715017,1.737754,1.520001,2.109191,1.139156,1.488831,1.924103,0.2701283,2.648837,1.783297,3.374233,1.907816,0.8453875,0.1628279,3.378252,3.861757,0.08941712
0.06132903,2.713269,1.253669,2.404648,2.745095,3.522418,2.907421,2.148813,2.230635,1.219443,1.212422,2.277825,3.638562,1.883097,2.376522,2.02815,3.383663,2.213746,2.222324,0.1661137,1.667871,1.864306,1.870184,1.862693,2.356064,1.370366,1.764095,2.11421,0.3892067,2.688789,2.096091,3.53198,2.049036,0.9390322,0.1135571,3.491605,3.84871,0.135984
0.001984043,3.336371,1.4701,2.749418,2.924694,3.405923,3.146128,1.839892,2.405517,1.429567,1.351671,2.534316,3.814538,1.833424,2.332031,2.104312,3.676067,1.798726,2.120359,0.2438955,1.68748,1.992537,1.85042,2.163575,2.58593,1.692245,2.037513,2.30862,0.5575866,2.618135,2.303985,3.634656,2.192188,1.201736,0.2368912,3.612011,3.745776,0.02466557
0.0611761,3.491539,1.525611,3.058504,2.96058,3.371713,3.292202,2.387183,2.613099,1.546567,1.531254,2.407545,4.010814,1.247339,2.227837,2.367976,3.390108,1.765564,2.211642,0.02583232,1.717656,2.163641,1.915464,2.490772,2.535542,1.942618,2.452832,2.654472,1.039382,2.606797,2.613539,3.538542,2.298504,1.505789,0.4975961,3.882446,3.415753,0
